date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:51:17	41/41	---M--	200	added ('OK')	text/plain	etag:%22657b2133-29%22	https://strawpoll.com/robots.txt		(from )
01:51:18	33447/33447	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:51:14%20GMT	https://strawpoll.com/signup/	C:/My%20Web%20Sites/poll%20signup/strawpoll.com/signup/index.html	(from )
01:51:19	134668/134668	---MCZ	200	added ('OK')	text/css	etag:W/%2265ba9116-20e0c%22	https://cdn.strawpoll.com/dist/main.css?v=231	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/main7bab.css	(from https://strawpoll.com/signup/)
01:51:20	173950/173950	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650c2ce0-2a77e%22	https://cdn.strawpoll.com/dist/app.js?v=231	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/app7bab.js	(from https://strawpoll.com/signup/)
01:51:20	7133/7133	---M--	200	added ('OK')	image/png	etag:%2263fcd4a1-1bdd%22	https://strawpoll.com/apple-touch-icon.png	C:/My%20Web%20Sites/poll%20signup/strawpoll.com/apple-touch-icon.png	(from https://strawpoll.com/signup/)
01:51:20	810/810	---M--	200	added ('OK')	image/png	etag:%22650844a6-32a%22	https://strawpoll.com/favicon-32x32.png	C:/My%20Web%20Sites/poll%20signup/strawpoll.com/favicon-32x32.png	(from https://strawpoll.com/signup/)
01:51:20	440/440	---M--	200	added ('OK')	image/png	etag:%22650844a6-1b8%22	https://strawpoll.com/favicon-16x16.png	C:/My%20Web%20Sites/poll%20signup/strawpoll.com/favicon-16x16.png	(from https://strawpoll.com/signup/)
01:51:21	26596/26596	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-67e4%22	https://cdn.strawpoll.com/dist/fonts/inter-cyrillic-ext.woff2	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/fonts/inter-cyrillic-ext.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
01:51:21	16840/16840	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-41c8%22	https://cdn.strawpoll.com/dist/fonts/inter-cyrillic.woff2	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/fonts/inter-cyrillic.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
01:51:21	11868/11868	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-2e5c%22	https://cdn.strawpoll.com/dist/fonts/inter-greek-ext.woff2	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/fonts/inter-greek-ext.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
01:51:22	21964/21964	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-55cc%22	https://cdn.strawpoll.com/dist/fonts/inter-greek.woff2	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/fonts/inter-greek.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
01:51:22	8576/8576	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-2180%22	https://cdn.strawpoll.com/dist/fonts/inter-vietnamese.woff2	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/fonts/inter-vietnamese.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
01:51:22	57136/57136	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-df30%22	https://cdn.strawpoll.com/dist/fonts/inter-latin-ext.woff2	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/fonts/inter-latin-ext.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
01:51:23	37676/37676	---M--	200	added ('OK')	application/octet-stream	etag:%22650844a6-932c%22	https://cdn.strawpoll.com/dist/fonts/inter-latin.woff2	C:/My%20Web%20Sites/poll%20signup/cdn.strawpoll.com/dist/fonts/inter-latin.woff2	(from https://cdn.strawpoll.com/dist/main.css?v=231)
01:51:23	25/25	---M--	200	added ('OK')	text/plain	etag:%22627b8951-19%22	https://cdn.strawpoll.com/robots.txt		(from https://cdn.strawpoll.com/dist/main.css?v=231)
